Disease,Symptoms,Treatment,CropType,Severity,DateObserved
Powdery Mildew,"White powdery coating on leaves, reduced photosynthesis, leaf curling","Apply sulfur dust, neem oil spray, ensure good air circulation, remove affected leaves",Wheat,High,2024-03-15
Early Blight,"Brown spots with concentric rings on lower leaves, yellowing, defoliation","Remove infected leaves, apply copper fungicide, improve drainage, increase spacing",Potato,High,2024-02-20
Gray Leaf Spot,"Rectangular gray lesions with brown borders, premature leaf drop","Fungicide spray, crop rotation, remove infected residue, resistant varieties",Corn,Medium,2024-01-05
Septoria Leaf Blotch,"Small circular spots with dark borders and gray centers, yellowing","Apply fungicide, remove infected leaves, improve air flow, crop rotation",Wheat,Medium,2024-03-01
Powdery Mildew on Grapes,"White powder on leaves and fruit, fruit cracking, reduced yield","Sulfur spray, remove infected parts, thin canopy, resistant rootstocks",Grapes,High,2024-02-15
Downy Mildew,"Yellow patches on upper leaf surface, white mold on undersides, defoliation","Bordeaux mixture spray, improve drainage, remove infected leaves, resistant varieties",Grapevine,High,2024-03-10
Root Rot,"Wilting despite adequate water, blackened roots, stunted growth, plant death","Improve drainage, avoid overwatering, use fungicide-treated seeds, crop rotation",Soybean,High,2024-01-25
Blight on Tomatoes,"Dark lesions on stems and leaves, canker formation, plant collapse","Remove infected plants, copper fungicide, improve air circulation, stake properly",Tomato,High,2024-02-28
Leaf Rust,"Rusty-orange pustules on leaf undersides, yellowing of upper surface, defoliation","Apply rust-specific fungicide, remove infected leaves, resistant varieties, crop rotation",Wheat,Medium,2024-02-25
Anthracnose,"Dark sunken lesions on fruit and leaves, pink spore masses, fruit rot","Remove infected fruit, fungicide spray, improve drainage, prune for air flow",Bean,High,2024-03-18
Clubroot,"Enlarged clubbed roots, yellowing, wilting, stunted growth, poor yield","Lime application to raise pH, crop rotation, remove infected plants, resistant varieties",Cabbage,High,2024-01-20
Damping Off,"Seedlings collapse at soil line, stem rot, pre-emergence death","Sterilize soil, improve drainage, use fungicide-treated seeds, reduce humidity",Tomato,High,2024-02-10
Bacterial Spot,"Angular lesions with yellow halos, fruit spotting, defoliation","Copper fungicide, remove infected fruit, improve drainage, resistant varieties",Pepper,Medium,2024-03-08
Fusarium Wilt,"Yellowing on one side of plant, wilting, browning of vascular tissue, plant death","Remove infected plants, crop rotation, soil solarization, resistant varieties",Melon,High,2024-01-10
